REGION,GEOID
West,54
West,12
Midwest,17
Midwest,27
West,24
Northeast,44
South,16
Northeast,33
West,37
Northeast,50
Northeast,09
West,10
South,35
South,06
Northeast,34
Midwest,55
South,41
Midwest,31
Northeast,42
South,53
West,22
West,13
West,01
South,49
Midwest,39
West,48
South,08
West,45
West,40
West,47
South,56
South,15
Midwest,38
West,21
NA,78
NA,69
NA,66
Northeast,23
Northeast,36
South,32
South,02
NA,60
Midwest,26
West,05
West,28
Midwest,29
South,30
Midwest,20
Midwest,18
NA,72
Midwest,46
Northeast,25
West,51
West,11
Midwest,19
South,04
